2019-10-13 22:37:30,078: uiname is Dialog
2019-10-13 22:37:30,079: toplevel widget is SecondWindow
2019-10-13 22:37:30,079: setting property geometry
2019-10-13 22:37:30,079: setting property focusPolicy
2019-10-13 22:37:30,079: setting property windowTitle
2019-10-13 22:37:30,079: push SecondWindow Dialog
2019-10-13 22:37:30,079: setting property geometry
2019-10-13 22:37:30,079: setting property font
2019-10-13 22:37:30,080: setting property styleSheet
2019-10-13 22:37:30,080: setting property frameShape
2019-10-13 22:37:30,081: setting property frameShadow
2019-10-13 22:37:30,081: push QPlainTextEdit plainTextEdit
2019-10-13 22:37:30,082: pop widget QPlainTextEdit plainTextEdit
2019-10-13 22:37:30,082: new topwidget <keybinder.SecondWindow object at 0x0000018CA15E5288>
2019-10-13 22:37:30,082: setting property geometry
2019-10-13 22:37:30,082: setting property text
2019-10-13 22:37:30,082: push QPushButton btnDeleteText
2019-10-13 22:37:30,082: pop widget QPushButton btnDeleteText
2019-10-13 22:37:30,082: new topwidget <keybinder.SecondWindow object at 0x0000018CA15E5288>
2019-10-13 22:37:30,083: setting property geometry
2019-10-13 22:37:30,083: setting property text
2019-10-13 22:37:30,083: push QPushButton btnEnter
2019-10-13 22:37:30,083: pop widget QPushButton btnEnter
2019-10-13 22:37:30,083: new topwidget <keybinder.SecondWindow object at 0x0000018CA15E5288>
2019-10-13 22:37:30,083: pop widget SecondWindow Dialog
2019-10-13 22:37:30,083: new topwidget None
2019-10-13 22:37:53,447: uiname is Dialog
2019-10-13 22:37:53,448: toplevel widget is SecondWindow
2019-10-13 22:37:53,448: setting property geometry
2019-10-13 22:37:53,448: setting property focusPolicy
2019-10-13 22:37:53,448: setting property windowTitle
2019-10-13 22:37:53,448: push SecondWindow Dialog
2019-10-13 22:37:53,448: setting property geometry
2019-10-13 22:37:53,448: setting property font
2019-10-13 22:37:53,449: setting property styleSheet
2019-10-13 22:37:53,449: setting property frameShape
2019-10-13 22:37:53,449: setting property frameShadow
2019-10-13 22:37:53,449: push QPlainTextEdit plainTextEdit
2019-10-13 22:37:53,449: pop widget QPlainTextEdit plainTextEdit
2019-10-13 22:37:53,449: new topwidget <keybinder.SecondWindow object at 0x00000280E2335288>
2019-10-13 22:37:53,450: setting property geometry
2019-10-13 22:37:53,450: setting property text
2019-10-13 22:37:53,450: push QPushButton btnDeleteText
2019-10-13 22:37:53,450: pop widget QPushButton btnDeleteText
2019-10-13 22:37:53,450: new topwidget <keybinder.SecondWindow object at 0x00000280E2335288>
2019-10-13 22:37:53,450: setting property geometry
2019-10-13 22:37:53,450: setting property text
2019-10-13 22:37:53,450: push QPushButton btnEnter
2019-10-13 22:37:53,450: pop widget QPushButton btnEnter
2019-10-13 22:37:53,450: new topwidget <keybinder.SecondWindow object at 0x00000280E2335288>
2019-10-13 22:37:53,450: pop widget SecondWindow Dialog
2019-10-13 22:37:53,450: new topwidget None
2019-10-13 22:40:48,564: Mouse moved to (1001, 503)
2019-10-13 22:40:48,565: Mouse moved to (1002, 501)
2019-10-13 22:40:48,566: Mouse moved to (1002, 501)
2019-10-13 22:40:48,567: Mouse moved to (1003, 500)
2019-10-13 22:40:48,568: Mouse moved to (1004, 499)
2019-10-13 22:40:48,569: Mouse moved to (1004, 498)
2019-10-13 22:40:48,570: Mouse moved to (1004, 496)
2019-10-13 22:40:48,571: Mouse moved to (1005, 496)
2019-10-13 22:40:48,572: Mouse moved to (1005, 494)
2019-10-13 22:40:48,573: Mouse moved to (1006, 493)
2019-10-13 22:40:48,574: Mouse moved to (1006, 492)
2019-10-13 22:40:48,575: Mouse moved to (1007, 490)
2019-10-13 22:40:48,576: Mouse moved to (1007, 488)
2019-10-13 22:40:48,577: Mouse moved to (1008, 487)
2019-10-13 22:40:48,578: Mouse moved to (1008, 486)
2019-10-13 22:40:48,579: Mouse moved to (1009, 484)
2019-10-13 22:40:48,580: Mouse moved to (1010, 482)
2019-10-13 22:40:48,581: Mouse moved to (1010, 481)
2019-10-13 22:40:48,582: Mouse moved to (1010, 480)
2019-10-13 22:40:48,583: Mouse moved to (1011, 478)
2019-10-13 22:40:48,584: Mouse moved to (1011, 477)
2019-10-13 22:40:48,585: Mouse moved to (1012, 476)
2019-10-13 22:40:48,586: Mouse moved to (1012, 474)
2019-10-13 22:40:48,587: Mouse moved to (1012, 474)
2019-10-13 22:40:48,588: Mouse moved to (1013, 472)
2019-10-13 22:40:48,589: Mouse moved to (1013, 472)
2019-10-13 22:40:48,590: Mouse moved to (1014, 471)
2019-10-13 22:40:48,591: Mouse moved to (1014, 470)
2019-10-13 22:40:48,592: Mouse moved to (1015, 469)
2019-10-13 22:40:48,593: Mouse moved to (1015, 469)
2019-10-13 22:40:48,594: Mouse moved to (1015, 468)
2019-10-13 22:40:48,595: Mouse moved to (1016, 468)
2019-10-13 22:40:48,596: Mouse moved to (1016, 467)
2019-10-13 22:40:48,597: Mouse moved to (1017, 467)
2019-10-13 22:40:48,598: Mouse moved to (1018, 467)
2019-10-13 22:40:48,599: Mouse moved to (1018, 467)
2019-10-13 22:40:48,600: Mouse moved to (1018, 466)
2019-10-13 22:40:48,601: Mouse moved to (1019, 466)
2019-10-13 22:40:48,602: Mouse moved to (1019, 465)
2019-10-13 22:40:48,603: Mouse moved to (1020, 465)
2019-10-13 22:40:48,604: Mouse moved to (1020, 465)
2019-10-13 22:40:48,605: Mouse moved to (1021, 465)
2019-10-13 22:40:48,606: Mouse moved to (1021, 465)
2019-10-13 22:40:48,607: Mouse moved to (1022, 465)
2019-10-13 22:40:48,608: Mouse moved to (1023, 465)
2019-10-13 22:40:48,609: Mouse moved to (1023, 465)
2019-10-13 22:40:48,610: Mouse moved to (1024, 465)
2019-10-13 22:40:48,611: Mouse moved to (1025, 465)
